Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7358720,2021FR16FFPR014_RGE005408,BIOKET 2024,BIOKET 2024,France,01/05/2023,31/05/2024,22.14,270985.74,EUR,60000.0,https://linkedopendata.eu/entity/Q7354899,"49.2577886,4.031926",10.0,"Research and innovation activities in SMEs, including networking",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021FR16FFPR014,Grand Est - ERDF-ESF+-JTF,,FR_51454,Reims,,,Marne,,,FRF23,2021-2027,"BIOKET, the international conference dedicated to biotechnology innovations for the bioeconomy, is a must-attend event for professionals and researchers in the sector. Focusing on key bioconversion, extraction, and purification technologies for the development of bioproducts and bioprocesses, this event aims to stimulate knowledge sharing, encourage cross-sectoral collaborations, and foster business opportunities. By bringing together experts, industrialists, decision-makers, and investors, BIOKET facilitates dialogue and exchange on technological advances, thus promoting sustainable and innovative solutions. Through its diverse program including conferences, business conventions, and site visits, BIOKET plays a crucial role in accelerating the transition to a green economy, supporting the development of clean technologies and the efficient use of biomass resources.","BIOKET, la conférence internationale dédiée aux innovations en biotechnologies pour la bioéconomie, est un rendez-vous incontournable pour les professionnels et chercheurs du secteur. Axé sur les technologies clés de bioconversion, extraction, et purification pour le développement de bioproduits et bioprocédés, cet événement vise à stimuler le partage de connaissances, encourager les collaborations intersectorielles, et favoriser les opportunités d'affaires. En rassemblant experts, industriels, décideurs, et investisseurs, BIOKET facilite le dialogue et l'échange sur les avancées technologiques, promouvant ainsi des solutions durables et innovantes. Par son programme diversifié incluant conférences, conventions d'affaires, et visites de sites, BIOKET joue un rôle crucial dans l'accélération de la transition vers une économie verte, soutenant le développement de technologies propres et l'utilisation efficace des ressources biomasses.",,,,,FR
https://linkedopendata.eu/entity/Q7358896,2021FR16FFPR014_RGE007740,Cold rolling AMREV,Laminage à froid AMREV,France,01/04/2024,31/12/2026,30.0,1004109.2,EUR,301232.76,https://linkedopendata.eu/entity/Q7354991,"49.0207259,6.5380352",11.0,"Research and innovation activities in large enterprises, including networking",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021FR16FFPR014,Grand Est - ERDF-ESF+-JTF,,FR_57430,Mainvillers,,,Moselle,,,FRF33,2021-2027,"The AMREV project, led by the ArcelorMittal Maizières Research Center, aims to develop an integrated and automated in-line presetting solution for reversible cold rolling mills. Based on the development and improvement of new physical models, this integrated digital control solution will improve the quality of NGOES electrical steels produced (known for their high level of requirement) and avoid the production of waste related to non-compliance with the required specifications. This project will make it possible to drastically reduce CO2 emissions related to the redesign of rebuses but also thanks to the optimization of energy consumption during the rolling process. It should avoid the production of at least 13,900 tonnes of CO2 per year. In addition, this process will increase the production capacity of all the group's reversible cold rolling mills, allowing it to meet the growing market need for the production of NGOES steels (dedicated to electric motors).","Le projet AMREV, porté par le centre ArcelorMittal Maizières Research, vise à développer une solution intégrée et automatisée de préréglage en ligne pour les laminoirs à froid réversibles. Basée sur le développement et l'amélioration de nouveaux modèles physiques, cette solution digitale intégrée de contrôle permettra d'améliorer la qualité des aciers électriques NGOES produits (connus pour leur haut niveau d'exigence) et d'éviter la production de rebuts liés au non respect des spécifications requises. Ce projet permettra de fait de diminuer drastiquement les émissions de CO2 liées à la refonte des rebus mais également grâce à l'optimisation de la consommation d'énergie lors du process de laminage. Il devrait en effet éviter la production à minima de 13 900 tonnes de CO2 par an. Par ailleurs, ce procédé permettra d'augmenter la capacité de production de l'ensemble des laminoirs à froid réversible du groupe, lui permettant de répondre au besoin du marché croissant concernant la production d'aciers NGOES (dédiés aux moteurs électriques).",,,,,FR
https://linkedopendata.eu/entity/Q7511561,2021FR16FFPR005_148830,"AMPLI:Structuration and professionalization of a catering activity with a solidarity, cultural and social dimension within the third place La Baleine à Bascule in Piégut-Pluviers (24)","AMPLI:Structuration et professionnalisation d'une activité de restauration à dimension solidaire, culturelle et sociale au sein du tiers lieu La Baleine à Bascule à Piégut-Pluviers (24)",France,01/10/2023,31/03/2024,27.4,73000.0,EUR,20000.0,https://linkedopendata.eu/entity/Q7510962,"45.6406941,0.6496817",138.0,Support for social economy and social enterprises,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021FR16FFPR005,Nouvelle-Aquitaine ERDF-ESF+,24360,FR_24070,Busserolles,,,Dordogne,,,FRI11,2021-2027,"A study on social vitality in the municipality of Piégut-Pluviers in the Dordogne, carried out by the Sustainable Development Council of the Périgord Vert in February 2022, highlighted findings and demands on the part of the inhabitants to face the sociological changes of the territory, the breakdown of the social link and the absence of cultural offer. Led by an association of inhabitants, it is then defined a project of third place proposing multiple activities that can concern in an inclusive way all the populations of the territory, and promoting social diversity, encounter, solidarity. This territorial project results in a varied range of services for the population of the territory and promoting diversity: canteen, coffee, cultural events, social space, all year round and especially outside the tourist period A 6-month phase has been defined to allow the association to be structured, professionalized (creation at least of the first full-time job) and build all the conditions to ensure the sustainability of the various activities launched and the first jobs created.","Une étude sur la vitalité sociale sur la commune de Piégut-Pluviers en Dordogne, réalisée par le Conseil de Développement Durable du Périgord Vert en février 2022 a mis en avant des constats et des demandes de la part les habitants pour faire face aux mutations sociologiques du territoire, au délitement du lien social et à l'absence d'offre culturelle. Portée par une association d'habitants, il est alors défini un projet de tiers lieu proposant de multiples activités pouvant concerner de manière inclusive toutes les populations du territoire, et favorisant la mixité sociale, la rencontre, la solidarité. Ce projet de territoire se traduit par une offre de services variée à destination des populations du territoire et favorisant la mixité : cantine, café, manifestations culturelles, espace social, toute l'année et en particulier en dehors de la période touristique Une phase de 6 mois a été définie pour permettre à l'association de se structurer, se professionnaliser (création à minima du 1er emploi à temps plein) et construire toutes les conditions pour assurer la pérennisation des différentes activités lancées et des premiers emplois créés.",,,,,FR
https://linkedopendata.eu/entity/Q7356672,2021FR16FFPR017_BFC000646,2 posts animation ENR 48 months 2023-2026 (25 and 39),2 postes animation EnR 48 mois 2023-2026 (25 et 39),France,01/01/2023,31/12/2026,50.0,611917.26,EUR,305958.63,https://linkedopendata.eu/entity/Q7336987,"47.0669916,6.2356228",49.0,Renewable energy: biomass,,,PO02,"Greener, carbon-free Europe",RSO2.2,RSO2.2,ERDF,European Regional Development Fund,2021FR16FFPR017,Bourgogne-Franche-Comté - ERDF-ESF+,,FR_25211,Échevannes,,,Doubs,,,FRC21,2021-2027,"Financing of 2 renewable energy coordinator posts over 48 months (2023-2026) in the departments of Doubs and Jura to bring out as many quality renewable thermal energy production projects as possible and contribute to the achievement of regional environmental objectives, particularly wood energy and virtuous heat networks.","Financement de 2 postes de chargés de mission animateurs EnR sur 48 mois (2023-2026) dans les départements du Doubs et du Jura pour faire émerger un maximum de projets de production d'énergies renouvelables thermiques de qualité et contribuer à l'atteinte des objectifs environnementaux régionaux, particulièrement le bois énergie et les réseaux de chaleur vertueux.",,,,,FR
https://linkedopendata.eu/entity/Q7358737,2021FR16FFPR014_RGE005712,Development of the Cinémathèque du Grand-Est project in Champagne-Ardenne,Développement du projet de Cinémathèque du Grand-Est en Champagne-Ardenne,France,01/01/2024,31/12/2027,60.0,1278000.0,EUR,766800.0,https://linkedopendata.eu/entity/Q3774900,"48.1874008,6.5057799",166.0,"Protection, development and promotion of cultural heritage and cultural services",,,PO04,Social Europe,RSO4.6,RSO4.6,ERDF,European Regional Development Fund,2021FR16FFPR014,Grand Est - ERDF-ESF+-JTF,88000,FR_88253,Jeuxey,,,Vosges,,,FRF34,2021-2027,"The aim of this project is to develop the Cinémathèques du Grand Est project in the Champagne-Ardenne region, thus making it possible to create a film memoir of this region, through documentary processing, online publication in a national database and the implementation of valorisation actions. The newly established heritage funds will complement those already in existence. All these films will be available to the general public and will also feed scientific or documentary productions. These funds will allow free viewing of images filmed or photographed by Champagne amateurs, mainly between 1920 and 1980. Questionable by keywords, themes and geolocation, these images offer another look at our region, allowing an ethnographic, historical, cultural and social appropriation of our territory. Stakeholders in higher education and research, image education, tourism and especially the general public will be able to consult this tool in large numbers.","Ce projet a pour ambition de développer le projet de Cinémathèques du Grand Est sur le territoire de la Champagne-Ardenne, permettant ainsi de créer une Mémoire filmique de ce territoire, grâce au traitement documentaire, à la mise en ligne dans une base de données nationale et à la mise en place d'actions de valorisation. Les fonds patrimoniaux nouvellement constitués viendront complétés ceux déjà existants. Tous ces films seront consultables par le grand public et il viendront également nourrir des réalisation scientifiques ou documentaires. Ces fonds permettront de visionner gratuitement des images filmées ou photographiées par des amateurs champardennais, principalement entre 1920 et 1980. Interrogeable par mots clés, thématiques et géolocalisation, ces images offrent un autre regard sur notre région, en permettant une appropriation ethnographique, historique, culturelle et sociale de notre territoire. Acteurs de l'enseignement supérieur et de la recherche, de l'éducation aux images, du tourisme et surtout le grand public pourront consulter en nombre cet outil.",,,,,FR
https://linkedopendata.eu/entity/Q7526611,2021FR16FFPR006_00152646,Port of Dieppe - Pont Colbert - Rehabilitation works,Port de Dieppe - Pont Colbert - Travaux de réhabilitation,France,01/01/2021,27/02/2027,12.58,15898830.32,EUR,2000000.0,https://linkedopendata.eu/entity/Q3768125,"49.922061364946,1.0873572820796",166.0,"Protection, development and promotion of cultural heritage and cultural services",,,PO04,Social Europe,RSO4.6,RSO4.6,ERDF,European Regional Development Fund,2021FR16FFPR006,Normandie ERDF-ESF+-JTF,,FR_76217,Dieppe,,,Seine-Maritime,,,FRD22,2021-2027,"The rehabilitation of the Colbert Bridge, classified as a Historic Monument, makes it possible to restore the infrastructure, improve its environmental impact and introduce remote control of the manoeuvre.","La réhabilitation du Pont Colbert, classé Monument Historique, permet de restaurer l’infrastructure, d’améliorer son, impact environnemental et d'introduire la téléconduite de la manœuvre",,,,,FR
https://linkedopendata.eu/entity/Q7512619,2021FR16FFPR016_00084294,Regional platform for opening up research data and scientific publications in SHS,Plateforme régionale d'ouverture des données de recherche et des publications scientifiques en SHS,France,01/01/2021,31/12/2024,50.0,627023.24,EUR,313500.0,https://linkedopendata.eu/entity/Q7512428,"48.12112,-1.70415",12.0,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021FR16FFPR016,Bretagne ERDF-ESF+,,FR_35238,Rennes,,,Ille-et-Vilaine,,,FRH03,2021-2027,"The project is based on the development of the MSHB (Digital Humanities and University Data Platform) platforms, national research infrastructures (IR*, IR) and regional existing or in progress (Datacenter).","Le projet repose sur le développement des plateformes de la MSHB (Humanités numériques et Plateforme Universitaire de Données), des infrastructures de recherche nationales (IR*, IR) et régionales existantes ou en cours de réalisation (Datacenter).",,,,,FR
https://linkedopendata.eu/entity/Q7357921,2021FR16FFPR002_REU003241,PROGRAMME OF ACTIONS 2022,PROGRAMME D'ACTIONS 2022,France,01/01/2022,31/12/2022,0.0,75404.21,EUR,0.0,https://linkedopendata.eu/entity/Q3775806,"-21.1309332,55.5265771",24.0,"Advanced support services for SMEs and groups of SMEs (including management, marketing and design services)",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021FR16FFPR002,Réunion ERDF-ESF+,,FR_97410,Saint-Benoît,,,La Réunion,,,FRY40,2021-2027,"It is an action programme of the Agence Film Réunion for 2022 to promote, support and encourage the development of actors in the film and audiovisual sectors alongside institutional referents.","Il s’agit d’un programme d’actions de l’Agence Film Réunion pour l’année 2022 afin de valoriser, promouvoir, accompagner et encourager dans leur développement les acteurs des filières du cinéma et de l'audiovisuel aux côtés des référents institutionnels.",,,,,FR
https://linkedopendata.eu/entity/Q7358571,2021FR16FFPR014_RGE004108,Acquisition of the Bois de l'Abbesse to ensure its very long-term preservation,Acquisition du Bois de l'Abbesse pour assurer sa préservation à très long terme,France,13/02/2023,31/12/2024,20.0,2036800.0,EUR,407360.0,https://linkedopendata.eu/entity/Q6874839,"48.6356025,4.7083538",78.0,"Protection, restoration and sustainable use of Natura 2000 sites",,,PO02,"Greener, carbon-free Europe",RSO2.7,RSO2.7,ERDF,European Regional Development Fund,2021FR16FFPR014,Grand Est - ERDF-ESF+-JTF,,FR_51316,Larzicourt,,,Marne,,,FRF23,2021-2027,Exceptional and strategic land acquisition of about 103 ha of private forest in one piece at the place called Bois de l'Abbesse on the edge of Lake Der in the municipality of Larzicourt. The objective is to sustainably preserve and enhance this remarkable space.,Acquisition foncière exceptionnelle et stratégique d'environ 103 ha de forêt privée d'un seul tenant au lieu-dit Bois de l'Abbesse en bordure du lac du Der sur la commune de Larzicourt. L'objectif poursuivi est de préserver durablement et de valoriser cet espace remarquable.,,,,,FR
https://linkedopendata.eu/entity/Q7356447,2021FR16FFPR018_ARA005139,Eco-pastoral reconquest project of mixed environments on the territory of the municipality of Esclauzels,Projet de reconquête éco-pastorale des milieux embroussaillés sur le territoire de la commune d'Esclauzels,France,01/01/2024,31/12/2026,70.0,116030.1,EUR,81221.07,https://linkedopendata.eu/entity/Q7354395,"44.4220417,1.6212844",79.0,"Nature and biodiversity protection, natural heritage and resources, green and blue infrastructure",,,PO05,Europe closer to citizens,RSO5.2,RSO5.2,ERDF,European Regional Development Fund,2021FR16FFPR018,Auvergne-Rhône-Alpes - ERDF/ESF+/JTF,,FR_46092,Esclauzels,,,Lot,,,FRJ25,2021-2027,"The AFPL Les Clauzels has initiated a project for the eco-pastoral reconquest of mixed environments on the territory of the municipality with the objective of preserving biodiversity and preventing the risk of fire through the redeployment of a seasonal sheep pasture. The ecopastoral management plan, resulting from the intersection of ecological and pastoral issues, will make it possible to maintain open environments in respect of biodiversity and ensure the sustainability of pastoral redeployment.","L'AFPL Les Clauzels a engagée un projet de reconquête éco-pastorale des milieux embroussaillés sur le territoire de la commune dans un objectif de préserver la biodiversité et prévenir le risque incendie à travers le redéploiement d'un pâturage saisonnier de brebis. Le plan de gestion écopastoral, issu du croisement des enjeux écologiques et pastoraux, va permettre de maintenir les milieux ouverts dans le respect de la biodiversité et assurer la pérennité du redéploiement pastoral.",,,,,FR
