Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7462395,2021PT05SFPR001_PESSOAS-FSE+-00938500,"Group of Schools of D. Afonso Henriques, Aves.CP2023/2024","Agrupamento de Escolas de D. Afonso Henriques, Aves.CP2023/2024",Portugal,01/09/2023,31/08/2024,85.0,142868.04,EUR,121437.83,https://linkedopendata.eu/entity/Q3003082,"41.3440057,-8.4772021",149.0,Support for primary to secondary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021PT05SFPR001,"Demography, Qualifications and Inclusion – PT – ESF+",,PT_131437,"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",,,Metropolitan Area of Porto,,,PT11A,2021-2027,"This project intends to finance professional courses of great relevance for the region (NUT III of the Metropolitan Area of Porto), thus meeting the needs evidenced by internal and external stakeholders.","O presente projeto pretende financiar cursos profissionais de grande relevância para a região (NUT III da Área Metropolitana do Porto), colmatando assim as necessidades evidenciadas pelos stakeholders internos e externos.",,,,,PT
https://linkedopendata.eu/entity/Q7460234,2021PT16FFPR003_NORTE2030-FEDER-01574000,IRMÃOS FERREIRA productive innovation project i4.0,Projeto de inovação produtiva i4.0 da IRMÃOS FERREIRA,Portugal,12/08/2025,11/08/2027,40.0,1491240.55,EUR,596496.22,https://linkedopendata.eu/entity/Q7452229,"37.0028353,-25.0676137",21.0,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021PT16FFPR003,Norte Regional Programme 2021-2027,,PT_410102,Santa Bárbara,,,Azores,,,PT200,2021-2027,"The project aims to increase the productive capacity and strengthen the competitiveness of IRMÃOS FERREIRA, a company with extensive experience in the manufacture of decorative ceramic pieces in earthenware and terracotta, raising it to a new level of technological competence and productive training. To this end, this operation advocates, in a summary way, the strengthening of productive capacity and skills, the full insertion of the company in the Industry 4.0 paradigm, the","O projeto visa o aumento da capacidade produtiva e reforço da competitividade da IRMÃOS FERREIRA, empresa com vasta experiência no fabrico de peças de cerâmica decorativa em faiança e terracota, elevando-a para um novo patamar de competência tecnológica e capacitação produtiva. Para tal, a presente operação preconiza, de forma sumária, o reforço da capacidade e competências produtivas, a plena inserção da empresa no paradigma da Indústria 4.0, a",,,,,PT
https://linkedopendata.eu/entity/Q7453062,2021PT16FFPR005_ALT2030-FTJ-00657600,GREEN ENTERPRISE,EMPREENDEDORISMO VERDE,Portugal,20/06/2024,20/05/2026,100.0,365457.46,EUR,365457.46,https://linkedopendata.eu/entity/Q6863569,"37.95,-8.86666667",146.0,"Support for adaptation of workers, enterprises and entrepreneurs to change",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021PT16FFPR005,Alentejo Regional Programme 2021-2027,,,,,,Alentejo Litoral Subregion,,,PT141|PT181|PT1C1,2021-2027,"The project, in line with the PTTJ and the economic opportunities that are emerging in Alentejo Litoral, bets on a Training Plan for Green Entrepreneurship, based on the agri-food and tourism sectors, with programmes supported in Short-Term Training Units of the National Catalogue of Qualifications that integrate the agri-food sector, in areas 541 – Food Industries, 621 – Agricultural and Animal Production, 812 – Tourism and Leisure","O projeto, alinhado com o PTTJ e as oportunidades económicas que estão a surgir no Alentejo Litoral, aposta num Plano de Formação para o Empreendedorismo Verde, alicerçado nas fileiras agroalimentar e do turismo, c/ programas suportados em Unidades de Formação de Curta Duração do Catálogo Nacional de Qualificações que integram o setor agroalimentar, nas áreas 541 – Indústrias Alimentares, 621 – Produção Agrícola e Animal, 812 – Turismo e Lazer",,,,,PT
https://linkedopendata.eu/entity/Q7459393,2021PT16FFPR003_NORTE2030-FEDER-02629600,Operational Sustainability of the Municipal Civil Protection Service,Sustentabilidade Operacional do Serviço Municipal Proteção Civil,Portugal,01/05/2025,31/12/2026,67.6,1212226.05,EUR,819471.49,https://linkedopendata.eu/entity/Q6715370,"41.1398199,-8.5326269",59.0,"Adaptation to climate change measures and prevention and management of climate related risks: fires (including awareness raising, civil protection and disaster management systems, infrastructures and ecosystem based approaches)",,,PO02,"Greener, carbon-free Europe",RSO2.4,RSO2.4,ERDF,European Regional Development Fund,2021PT16FFPR003,Norte Regional Programme 2021-2027,,PT_130415,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",,,Metropolitan Area of Porto,,,PT11A,2021-2027,"Operation ‘Operational Sustainability of the Municipal Civil Protection Service’ arises from the high sensitivity to risks of rural fire and rapid floods and floods in the municipality of Gondomar, with three parishes classified as vulnerable with high susceptibility and danger of rural fire with a ‘very high’ hazard class, according to the official list, and all the parishes with flood quotas.","A Operação “Sustentabilidade Operacional do Serviço Municipal Proteção Civil” surge pela elevada sensibilidade a riscos de incêndio rural e cheias e inundações rápidas do concelho de Gondomar, estando três freguesias classificadas como vulneráveis com elevada suscetibilidade e perigosidade de incêndio rural com classe de perigosidade ""muito alta"", de acordo com a lista oficial, e a totalidade das freguesias com cotas de cheia e inundações.",,,,,PT
https://linkedopendata.eu/entity/Q7453887,2021PT16FFPR007_ALGARVE-FEDER-01090800,IGMD IMPACT+,IGMD IMPACTO+,Portugal,01/11/2024,30/10/2026,50.0,387126.0,EUR,193563.0,https://linkedopendata.eu/entity/Q2985196,"37.183914429011,-8.5416370135303",21.0,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021PT16FFPR007,Algarve Regional Programme 2021-2027,,PT_081103,Portimão,,,Algarve,,,PT150,2021-2027,"IGMD will invest in equipment for crushing stones in land mobilization works for agriculture and public and private works, with positive impacts on the environment, promoting the reduction of waste transport and the recycling of inerts for use on site.","A IGMD vai investir num equipamento para britagem de pedras em obras de mobilização de terras para agricultura e obras publicas e privadas, com impactos positivos no meio ambiente, promovendo a redução do transporte de resíduos e a reciclagem de inertes para utilização no local.",,,,,PT
https://linkedopendata.eu/entity/Q7455789,2021PT16FFPR009_COMPETE2030-FEDER-00901600,Pasture enriched with biochar: restoration of soil habitat function for climate resilience and sustainability,Pastagens enriquecidas com biocarvão: restauro da função de habitat do solo para a resiliência climática e sustentabilidade,Portugal,01/06/2025,28/05/2028,85.0,249480.0,EUR,212058.0,https://linkedopendata.eu/entity/Q6862955,"40.20777778,-8.42611111",12.0,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021PT16FFPR009,Innovation and Digital Transition Thematic Programme,,,,,Centro region,,,PT16,,2021-2027,"HABITAT proposes a synergy of nature-based solutions (biochar, legumes and deep-rooted perennials) to restore soil habitat function in non-irrigated pastures with spatio-temporal representativeness, as proof-of-concept. It focuses on national/international research and interdisciplinary collaborations with academia and key stakeholders, as well as a robust dissemination and exploitation plan.","HABITAT propõe uma sinergia de soluções baseadas na natureza (biochar, leguminosas e perenes de enraizamento profundo) para restaurar a função de habitat do solo em pastagens não irrigadas com representatividade espacio-temporal, como prova-de-conceito. Centra-se na investigação e colaborações interdisciplinares nacionais/internacionais com a academia e stakeholders chave, assim como num robusto plano de disseminação e exploração dos resultados.",,,,,PT
https://linkedopendata.eu/entity/Q7462954,2021PT05SFPR001_PESSOAS-FSE+-01083900,Valuation that is worth more,Valorização Que Vale Mais,Portugal,10/07/2024,09/07/2027,85.0,298735.06,EUR,253924.8,https://linkedopendata.eu/entity/Q7452423,"41.8471981,-8.417882",151.0,Support for adult education (excluding infrastructure),,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021PT05SFPR001,"Demography, Qualifications and Inclusion – PT – ESF+",,PT_160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,,,Alto Minho Subregion,,,PT111,2021-2027,The social sector advocates the promotion of the social well-being of the populations of the territories where it operates. This operation aims to: (a) enhance the quality of the services provided (by increasing the skills of the HR of institutions – assets employed); (b) consolidate HR frameworks (through the initial preparation and integration of unemployed active operatives); c) increase skills and combat unemployment in the territory.,O setor social preconiza a promoção do bem-estar social das populações dos territórios onde atua. A presente operação pretende: a) reforçar a qualidade dos serviços prestados (por via do incremento de competências dos RH das instituições – ativos empregados); b) consolidar os quadros de RH (por via da preparação inicial e integração de operacionais ativos desempregados); c) aumentar competências e combater o desemprego no território.,,,,,PT
https://linkedopendata.eu/entity/Q7464790,2021PT05SFPR001_PESSOAS-FSE+-01872600,On the road to inclusion,A caminho da Inclusão,Portugal,17/03/2025,21/02/2028,85.0,630878.39,EUR,536246.63,https://linkedopendata.eu/entity/Q2996373,"41.1292264,-8.6057396",152.0,Measures to promote equal opportunities and active participation in society,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021PT05SFPR001,"Demography, Qualifications and Inclusion – PT – ESF+",,PT_131727,União das freguesias de Mafamude e Vilar do Paraíso,,,Metropolitan Area of Porto,,,PT11A,2021-2027,"This project is fully aligned with the digital and green transitions. It plans to cover 51 trainees, sent by Qualifica Centres in their entirety, with a training volume of 89445 hours in 2 training areas, resulting from the diagnosis of needs of the country and the Northern Region and will integrate all citizens, regardless of gender, ethnic origin, age, disability or other personal characteristics.","Este projeto encontra-se totalmente alinhado com a transição digital e transição verde. Prevê abranger 51 formandos, encaminhados por Centros Qualifica na sua totalidade, com um volume de formação de 89445 horas em 2 áreas de formação, resultantes do diagnóstico de necessidades do país e da Região Norte e integrará todos os cidadãos, independentemente de género, origem étnica, idade, deficiência ou outras características pessoais.",,,,,PT
https://linkedopendata.eu/entity/Q7457094,2021PT16FFPR006_LISBOA2030-FEDER-00346600,Increased capacity of poolware production unit,Aumento de capacidade de unidade de produção de artigos para piscinas,Portugal,02/01/2024,31/07/2025,40.0,628635.0,EUR,251454.0,https://linkedopendata.eu/entity/Q7451678,"38.7060845,-8.9746372",21.0,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021PT16FFPR006,Lisbon Regional Programme 2021-2027,,PT_150710,União das freguesias de Montijo e Afonsoeiro,,,Lisbon metropolitan area,,,PT170,2021-2027,"Production, a pioneer in Portugal, of swimming pool articles, mainly intended for the foreign market, by an entity included in a group of companies that has been systematically growing in the last 6 years.","Produção, pioneira em Portugal, de artigos para piscinas, destinados principalmente ao mercado externo, por parte de entidade inserida em grupo de empresas com atividade sistematicamente a crescer nos últimos 6 anos.",,,,,PT
https://linkedopendata.eu/entity/Q7455419,2021PT16FFPR009_COMPETE2030-FEDER-00710400,Hydrogels combined with bioglass nanoparticles for bone tissue regeneration,Hidrogéis combinados com nanopartículas de biovidro para regeneração do tecido ósseo,Portugal,02/09/2025,31/08/2028,85.0,249696.0,EUR,212241.6,https://linkedopendata.eu/entity/Q6863163,"41.4417677,-8.2955712",12.0,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021PT16FFPR009,Innovation and Digital Transition Thematic Programme,,PT_030884,"União das freguesias de Oliveira, São Paio e São Sebastião",,,Ave,,,PT119,2021-2027,"Bone regenerates naturalment, however injuries caused by trauma, tumor resection, osteoporosis, among others, bone regeneration is compromised. Injectable hydrogels have mechanical properties and appropriate bioactivity, osteoconductivity and osseointegration properties. This project aims to develop injectable hydrogels based on hyaluronic acid and chitosan, combining them with nanoglasses to stimulate bone regeneration.","O osso regenera naturalment, no entanto lesões causadas por trauma, resseção tumoral, osteoporose, entre outros, a regeneração óssea fica comprometida. Os hidrogéis injetáveis apresentam propriedades mecânicas e propriedades de bioatividade, osteocondutividade e osseointegração adquadas. Este projeto visa desenvolver hidrogéis injetáveis baseados em ácido hialurónico e quitosano, combinando-os com nanovidros para estimular a regeneração óssea.",,,,,PT
